moa,test_statistic.t,p_value
MATRIX METALLOPROTEASE INHIBITOR,2.2866444449447,0.022611375300327
ALDEHYDE REDUCTASE INHIBITOR,2.27908429084076,0.0288045544290637
LXR AGONIST,2.27550109331098,0.0237038613899831
CHOLECYSTOKININ AGONIST,2.26695482151646,0.0308460257322912
ARYL HYDROCARBON RECEPTOR LIGAND,2.26662451892754,0.0328728419307535
"ATP SYNTHASE INHIBITOR, ATPASE INHIBITOR",2.25994451873391,0.0298626819403594
"THROMBOXANE RECEPTOR ANTAGONIST, THROMBOXANE SYNTHASE INHIBITOR",2.23566986450195,0.0309154079939952
STING ANTAGONIST,2.22059539820812,0.0328996371956322
MITOTIC KINESIN INHIBITOR,2.21711515043314,0.031455425243805
ACETYLCHOLINE RECEPTOR INHIBITOR,2.18634412510791,0.0343522448855796
H+/K+-ATPASE INHIBITOR,2.15288935758835,0.0380878203912623
ATHEROSCLEROSIS FORMATION INHIBITOR,2.14478949403066,0.0417564737109158
"SRC INHIBITOR, TUBULIN POLYMERIZATION INHIBITOR",2.14470268531148,0.037645903814258
STEROID SULFATASE INHIBITOR,2.12238301671511,0.040475924624793
HOMOQUINOLINIC ACID BINDING INHIBITOR,2.11685210514629,0.0444111889654745
"ANTI-INFLAMMATORY AGENT, ANTIINFLAMMATORY AGENT, CYCLOOXYGENASE INHIBITOR",2.1069568462078,0.0422666558296192
SIRT ACTIVATOR,2.0891692942187,0.0396442681575169
DNA REPLICATION INHIBITOR,2.07971822748249,0.0506079123590117
TROPOMYOSIN RECEPTOR KINASE INHIBITOR,2.07101633613517,0.0407712553430405
MONOPOLAR SPINDLE 1 KINASE INHIBITOR,2.05761692988351,0.0412665648234522
L-TYPE CALCIUM CHANNEL BLOCKER,2.05005056123553,0.0476250204506045
"TANKYRASE INHIBITOR, WNT PATHWAY INHIBITOR",2.03919923742614,0.0484581862113189
WNT SIGNALING INHIBITOR,2.03772752098986,0.0460161441072829
"IKK INHIBITOR, NFKB PATHWAY INHIBITOR",2.03637739069254,0.0481588100734496
DUAL SPECIFICITY PROTEIN KINASE INHIBITOR,2.03033886907425,0.0480807520135884
"SPHINGOSINE 1-PHOSPHATE RECEPTOR MODULATOR, SPHINGOSINE PHOSPHATE RECEPTOR MODULATOR",2.02980340304948,0.0474567470589157
RETINOID RECEPTOR INVERSE AGONIST,2.02704978197679,0.0486029937974119
BILE ACID TRANSPORTER INHIBITOR,1.99904214452028,0.0522910914363661
DOPA DECARBOXYLASE INHIBITOR,1.99328424255743,0.0542367194271268
FABI INHIBITOR,1.97648775669526,0.0506764320054377
HISTAMINE RELEASE INHIBITOR,1.97463227149698,0.0525289993158229
VALOSIN-CONTAINING PROTEIN INHIBITOR,1.97344491601957,0.0586524977395428
POTASSIUM CHANNEL AGONIST,1.97309209663035,0.0568595379811632
POTASSIUM CHANNEL ACTIVATOR,1.96850873009535,0.0493838282706669
TRANSGLUTAMINASE INHIBITOR,1.96346672973183,0.058878941041021
"FGFR INHIBITOR, VEGFR INHIBITOR",1.95942206461598,0.0514174002976647
ANTILIPEMIC,1.95522407664676,0.0567950176849192
"MAP KINASE INHIBITOR, TIE TYROSINE KINASE INHIBITOR",1.95128567160949,0.0627955420036338
"CYCLOOXYGENASE INHIBITOR, LIPOXYGENASE INHIBITOR",1.950237606225,0.0552597539267409
PLATELET AGGREGATION INHIBITOR,1.94993025404494,0.0536956873308187
TRANSDERMAL ABSORPTION-ENHANCING COMPOUND,1.94393518058276,0.0578751674508693
LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN NEGATIVE MODULATOR,1.9415419096224,0.0577440852427259
ATR KINASE INHIBITOR,1.9400958053064,0.0537043012804459
GLUTATHIONE SYNTHASE STIMULANT,1.93283507611534,0.0611345765186552
INTERLEUKIN SYNTHESIS INHIBITOR,1.93264997742539,0.0619838822730646
"MTOR INHIBITOR, PI3K INHIBITOR",1.93114291942681,0.0540919881626682
HYPOLIPIDEMIC,1.92604683976775,0.064063623433044
"CCR AGONIST, INTERFERON RECEPTOR AGONIST",1.9136370763533,0.0618140989287945
INTEGRIN SIGNALING ACTIVATOR,1.90638262234051,0.0604032108105669
"CASEIN KINASE INHIBITOR, MTOR INHIBITOR, PI3K INHIBITOR",1.90445771634537,0.0648272055136682
PPAR RECEPTOR ANTAGONIST,1.8918306021338,0.0592743260681563
PORCUPINE INHIBITOR,1.88936963747643,0.0607270637173264
CALCIUM/CALMODULIN DEPENDENT PROTEIN KINASE INHIBITOR,1.86394321723833,0.067515698630338
GLUTATHIONE TRANSFERASE INHIBITOR,1.86192196611735,0.0670722135276543
PABA ANTAGONIST,1.85868461193162,0.0642836439898378
OXYTOCIN RECEPTOR AGONIST,1.85738265610539,0.0671587810636971
GONADOTROPIN RELEASING FACTOR HORMONE RECEPTOR ANTAGONIST,1.85300640058263,0.0648029271576014
TP53 INHIBITOR,1.83315690836697,0.0716124320680005
VOLTAGE-GATED POTASSIUM CHANNEL ACTIVATOR,1.80832808443121,0.072148752827923
OPIOID RECEPTOR MODULATOR,1.80796075089303,0.075219868868163
"DNA REPLICATION INHIBITOR, STAT INHIBITOR",1.79999071018509,0.0803744772093604
NOTCH SIGNALING INHIBITOR,1.78908219781851,0.076671306928195307
ANTICOAGULANT,1.78368608225421,0.0799055458016587
ANTIBACTERIAL,1.77326470024317,0.0768288185498904
MITOCHONDRIAL ELECTRON TRANSPORT INHIBITOR,1.77232426439661,0.0817586650249488
PIM KINASE INHIBITOR,1.7646291802437,0.0788708749948027
EXPECTORANT,1.75718063032444,0.0868113430631897
BACTERIAL PERMEABILITY INDUCER,1.74120045122449,0.0836014907167516
GLYCOGEN SYNTHASE KINASE INHIBITOR,1.73841465846353,0.0827344561171277
FKBP INHIBITOR,1.72890838697537,0.097305435080962
MEMBRANE PERMEABILITY ENHANCER,1.72535990788738,0.0887665388577167
"JAK INHIBITOR, STAT INHIBITOR",1.71530034393095,0.0949852271656306
STEROL METHYLTRANSFERASE INHIBITOR,1.71486405203284,0.0978460362979549
"MICROTUBULE STIMULANT, TUBULIN POLYMERIZATION INHIBITOR",1.71381605962348,0.0985683854385463
THYROID HORMONE RECEPTOR AGONIST,1.71316144298402,0.0895947331799604
"ADRENERGIC RECEPTOR AGONIST, IMIDAZOLINE RECEPTOR AGONIST",1.71259671475099,0.0930161552498501
CC CHEMOKINE RECEPTOR ANTAGONIST,1.71230321961736,0.0870687880804081
TOLL-LIKE RECEPTOR AGONIST,1.70382528901583,0.0896273185931908
BCL INHIBITOR,1.69845213289237,0.0903618900885256
"CHK INHIBITOR, CYTOCHROME P450 ACTIVATOR, INDOLEAMINE 2,3-DIOXYGENASE INHIBITOR",1.69445018618002,0.0980364900186386
UBIQUITIN LIGASE INHIBITOR,1.6916325967339,0.0962378009925577
METALLOPROTEINASE INHIBITOR,1.68903002575382,0.0922063911899114
"CELL CYCLE INHIBITOR, PLK INHIBITOR",1.68841757454625,0.098325262035992
"LEUKOTRIENE SYNTHESIS INHIBITOR, LIPOXYGENASE INHIBITOR",1.66794955943176,0.0983605893861131
"GLYCOGEN SYNTHASE KINASE INHIBITOR, LIPOXYGENASE INHIBITOR",1.65685754291177,0.106542993693826
HMGCR INHIBITOR,1.65607363099302,0.0983030018898401
G PROTEIN SIGNALING INHIBITOR,1.64878259628014,0.102392569417316
STEROL DEMETHYLASE INHIBITOR,1.64610777648131,0.100323952873073
STAT INHIBITOR,1.6370600573038,0.102872332546522
"GLUTAMATE RECEPTOR ANTAGONIST, SIGMA RECEPTOR AGONIST",1.63475255703518,0.110603009099413
BONE MORPHOGENIC PROTEIN INHIBITOR,1.62197210503185,0.107572443001688
"PHOSPHODIESTERASE INHIBITOR, SODIUM CHANNEL BLOCKER",1.6219227092921,0.112581699256183
JAK INHIBITOR,1.61909180901361,0.105729901450713
TRANSIENT RECEPTOR POTENTIAL CHANNEL AGONIST,1.61880022841547,0.109117274949357
GAMMA SECRETASE MODULATOR,1.60995369957354,0.109356325703713
DNA SYNTHESIS MARKER,1.5987141639269,0.117451275607895
GLUCOSYLCERAMIDASE INHIBITOR,1.59670936364423,0.11501963621327
"FLT3 INHIBITOR, TYROSINE KINASE INHIBITOR",1.59667875750724,0.119934736483704
"T-TYPE CALCIUM CHANNEL BINDER, T-TYPE CALCIUM CHANNEL BLOCKER",1.59616020921787,0.116588665699684
UBIQUITIN ACTIVATING ENZYME INHIBITOR,1.59516572192651,0.119144580638615
SPHINGOSINE 1-PHOSPHATE RECEPTOR ANTAGONIST,1.59470727245036,0.1139225695189
NEURAL STEM CELL INDUCER,1.59451598078794,0.113038468617829
PHOSPHATIDYLGLYCEROPHOSPHATASE INHIBITOR,1.59175760423466,0.12011073510993
JNK INHIBITOR,1.58930021590581,0.113147225179597
SELECTIVE ESTROGEN RECEPTOR MODULATOR (SERM),1.58818516211363,0.113377492599057
WNT AGONIST,1.58417044182469,0.124974094024699
INTERLEUKIN SYTHESIS STIMULATOR,1.57991414304947,0.121268175352043
NAMPT INHIBITOR,1.55576556643063,0.121384398702963
"C-MET INHIBITOR, VEGFR INHIBITOR",1.53325674091954,0.135685805671793
"GLUTAMATE RECEPTOR ALLOSTERIC MODULATOR, GLUTAMATE RECEPTOR POSITIVE ALLOSTERIC MODULATOR",1.52595359641734,0.136060592314124
INTEGRIN ANTAGONIST,1.50598916038129,0.132848464998014
PARG INHIBITOR,1.50506970574276,0.136797275380559
SERINE/THREONINE KINASE INHIBITOR,1.49631905114224,0.135480454521985
"SIRT INHIBITOR, TP53 ACTIVATOR",1.49328600477823,0.144670277054275
OTHER ANTIBIOTIC,1.48904702932998,0.137112809178991
GLUCOSE DEPENDENT INSULINOTROPIC RECEPTOR AGONIST,1.47614837322418,0.141401740180672
COENZYME A PRECURSOR,1.47470038625928,0.14443129292881
G PROTEIN-COUPLED RECEPTOR AGONIST,1.47365570885156,0.14134006001667
"DNA DIRECTED DNA POLYMERASE INHIBITOR, NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITOR",1.4506375898097,0.154763857428496
METHYLTRANSFERASE INHIBITOR,1.44862714411635,0.15578063372993
"KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, SRC INHIBITOR",1.44830167353207,0.154278105861382
"EGFR INHIBITOR, FGFR INHIBITOR, FLT3 INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR",1.43909636047753,0.154683270788858
URICOSURIC AGENT,1.43735540780118,0.157141547652162
RSV REPLICATION INHIBITOR,1.43198615850239,0.160221997689104
"ADENOSINE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR",1.41924370540386,0.159956406824427
CALCIUM-SENSING RECEPTOR AGONIST,1.41702615986588,0.163682053008979
ACETYL-COA CARBOXYLASE INHIBITOR,1.41499378130286,0.159007768017687
TRANSCRIPTIONAL REGULATORY PROTEIN WALR,1.40709985416734,0.171055039599765
OTHER ANTIFUNGAL,1.40515563563984,0.160790412115212
IMMUNE RESPONSE STIMULATOR,1.40445838870935,0.169708467376138
CORTICOTROPIN RELEASING FACTOR RECEPTOR ANTAGONIST,1.40357897770497,0.164968372370566
"CDK INHIBITOR, FLT3 INHIBITOR",1.40026171117989,0.174122345564047
"CYTOCHROME P450 INHIBITOR, PROTEIN SYNTHESIS INHIBITOR",1.39601744990311,0.170730069577486
ALDO-KETO REDUCTASE INHIBITOR,1.39484451768848,0.169927340530539
GABA TRANSAMINASE INHIBITOR,1.38904142955852,0.171936130731133
"ATPASE INHIBITOR, GASTRIN INHIBITOR",1.38741292978381,0.174082812898033
"DNA INHIBITOR, TOPOISOMERASE INHIBITOR",1.38377507169647,0.175474720140591
NEUROTRANSMITTER RELEASE INHIBITOR,1.37864336835222,0.178628482257289
"ABL KINASE INHIBITOR, INSULIN GROWTH FACTOR RECEPTOR INHIBITOR, SRC INHIBITOR",1.37595168821493,0.178519949624813
11-BETA-HSD1 INHIBITOR,1.37248823919914,0.17918249163163
"CASEIN KINASE INHIBITOR, CELL PROLIFERATION INHIBITOR",1.37169142320713,0.176911443701189
"ABL KINASE INHIBITOR, BCR-ABL KINASE INHIBITOR",1.36778319051479,0.179320195964251
"CYCLOOXYGENASE INHIBITOR, FABI INHIBITOR",1.36751848781584,0.176027880384941
TRYPTOPHAN HYDROXYLASE INHIBITOR,1.36165143354908,0.174682073929714
DYNAMIN INHIBITOR,1.3602074685128,0.176757226384765
ENTEROVIRUS CAPSID INHIBITOR,1.35937306184001,0.181565654721613
"AURORA KINASE INHIBITOR, MEK INHIBITOR",1.35485140759057,0.181813808136208
TANKYRASE INHIBITOR,1.35274376581057,0.178052657502728
VASOPRESSIN RECEPTOR AGONIST,1.35191501508811,0.178208533770868
"ATPASE INHIBITOR, TRPV AGONIST",1.35184630282353,0.184038974991963
TYROSINE PHOSPHATASE INHIBITOR,1.3438256424039,0.180775201881397
"AURORA KINASE INHIBITOR, JAK INHIBITOR",1.33149328112524,0.191106451627399
"BRUTON'S TYROSINE KINASE (BTK) INHIBITOR, EGFR INHIBITOR",1.33105884326555,0.192803454385489
"CALCIUM CHANNEL BLOCKER, GLUTAMATE RECEPTOR ANTAGONIST",1.32990019706762,0.192889413282261
"FGFR INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR",1.32838202264714,0.189852685032567
CELL DIVISION INDUCER,1.32705101855151,0.191062265146413
"APOPTOSIS INHIBITOR, DNA SYNTHESIS INHIBITOR",1.32494616752789,0.192762215457838
"BONE RESORPTION INHIBITOR, ESTROGEN-RELATED RECEPTOR INVERSE AGONIST",1.32493773322797,0.192633081327253
"HCV INHIBITOR, PROTEASE INHIBITOR",1.32253299993207,0.191739734635289
PI4K INHIBITOR,1.3203854172197,0.189558340513623
PHOSPHOLIPASE INHIBITOR,1.31975306409932,0.187634986790644
HISTONE LYSINE DEMETHYLASE INHIBITOR,1.31459948247176,0.189747033293658
BETA-SECRETASE INHIBITOR,1.30671452170245,0.192471918655555
ESTROGEN RECEPTOR ANTAGONIST,1.30224226376369,0.193817569610546
UBIQUITIN SPECIFIC PROTEASE INHIBITOR,1.30033119824722,0.195608093980172
"PKC INHIBITOR, PROTEIN TYROSINE KINASE INHIBITOR",1.29467102755735,0.203225156858624
ADENYLYL CYCLASE INHIBITOR,1.2880758830496,0.202023888095582
HISTONE CHAPERONE INHIBITOR,1.28126482015676,0.209517479136097
ROR AGONIST,1.28028731721671,0.206546355880991
HSP INDUCER,1.27039481792173,0.206866974957387
ALPHA GLUCOSIDE INHIBITOR,1.27022061682317,0.212449770823302
RETINOID RECEPTOR ANTAGONIST,1.26980513772948,0.206357666698205
ALDEHYDE DEHYDROGENASE ACTIVATOR,1.2667896315331,0.215870817381393
CRTH RECEPTOR ANTAGONIST,1.26652703182184,0.208161542710888
INTEGRIN INHIBITOR,1.26517551956936,0.207767093096364
CAR ANTAGONIST,1.26174498536651,0.211738122499582
"KR""""""""UPPEL-LIKE FACTOR EXPRESSION ENHANCER, KRÃPPEL-LIKE FACTOR EXPRESSION ENHANCER",1.26160460423954,0.218077257433084
HYPOXIA INDUCIBLE FACTOR INHIBITOR,1.2592938215164,0.208806612998641
"BENZODIAZEPINE RECEPTOR AGONIST, GABA BENZODIAZEPINE SITE RECEPTOR PARTIAL AGONIST",1.24627538397287,0.22096582381196
BETA AMYLOID INHIBITOR,1.24210785558118,0.218566945283952
NITRIC OXIDE SYNTHASE STIMULANT,1.24009245986518,0.219132409131691
CARBOXYLESTERASE INHIBITOR,1.235685217537,0.220137084480691
LATE SODIUM CURRENT INHIBITOR,1.233690409777,0.225929875002762
UROTENSIN RECEPTOR ANTAGONIST,1.23086141563774,0.220318568197206
GLUCOSAMINE SYNTHETASE STIMULANT,1.22855093726022,0.228854342619714
GLUTAMATE RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,1.22834347279631,0.221660634876793
AMYLOID PROTEIN INHIBITOR,1.22587312398888,0.229223307509365
GLUCONEOGENESIS INHIBITOR,1.22545764607305,0.224326289956859
MTH1 INHIBITOR,1.21344847234292,0.227229742418358
AURORA KINASE INHIBITOR,1.21247148808023,0.22565661194985
TOPOISOMERASE INHIBITOR,1.21150884014806,0.225858598242652
CALCIUM-ACTIVATED CHLORIDE CHANNEL INHIBITOR,1.21015484334379,0.231333552265838
COSMETIC,1.20224899646769,0.235101266294034
ALDEHYDE DEHYDROGENASE INHIBITOR,1.20007362454561,0.235628346098294
HEDGEHOG PATHWAY INHIBITOR,1.19521998404138,0.233677095170134
"MICROTUBULE STABILIZING AGENT, TUBULIN POLYMERIZATION INHIBITOR",1.1863541121425,0.239062883378785
"INTERFERON RECEPTOR AGONIST, INTERLEUKIN RECEPTOR AGONIST",1.17770438366554,0.246776034097416
PURINERGIC RECEPTOR ANTAGONIST,1.17340205497439,0.241018060092991
"ANGIOGENESIS INHIBITOR, S100A9 INHIBITOR",1.17337831861751,0.246213386504851
P SELECTIN INHIBITOR,1.16980287739262,0.245989564113141
"IMMUNOSUPPRESSANT, SPHINGOSINE 1-PHOSPHATE RECEPTOR AGONIST, SPHINGOSINE PHOSPHATE RECEPTOR AGONIST",1.16223384193279,0.251543990831447
"ALDOSE REDUCTASE INHIBITOR, TRPV AGONIST",1.15889867449924,0.254454747608841
TRACE AMINE ASSOCIATED RECEPTOR ANTAGONIST,1.15569216639609,0.255774637143429
MBT INHIBITOR,1.15479619022769,0.259780966082409
HAEMOSTATIC AGENT,1.14863421008764,0.258852200006915
RYANODINE RECEPTOR ACTIVATOR,1.14773428344268,0.257933692697225
"KATP ACTIVATOR, POTASSIUM CHANNEL AGONIST",1.13812121034237,0.261503931361859
"APOPTOSIS STIMULANT, RETINOID RECEPTOR AGONIST",1.13157395832173,0.26864189184631
"MICROTUBULE INHIBITOR, TUBULIN POLYMERIZATION INHIBITOR",1.1303839520375,0.260359974510848
"CLK INHIBITOR, DYRK INHIBITOR",1.12807309263219,0.267348373478176
MAP KINASE PHOSPHATASE INHIBITOR,1.12709530613668,0.266818956803996
XANTHINE OXIDASE INHIBITOR,1.12708523261676,0.261001283481682
NITRIC OXIDE DONOR,1.12675270686999,0.260851734354967
"ICAM1 ANTAGONIST, LEUKOCYTE FUNCTION-ASSOCIATED ANTIGEN RECEPTOR ANTAGONIST",1.12387551974607,0.272189166513988
CYCLIN D INHIBITOR,1.12086607855869,0.265344618234937
PKC INHIBITOR,1.12084872767859,0.262957292779574
"AURORA KINASE INHIBITOR, FLT3 INHIBITOR, VEGFR INHIBITOR",1.11763968395474,0.269770332849447
GHRELIN RECEPTOR ANTAGONIST,1.11621856438747,0.274618606607896
URIC ACID DIURETIC,1.10867053593856,0.273347587376665
HSP INHIBITOR,1.1071673729286,0.268519284640712
CASEIN KINASE INHIBITOR,1.10564074061455,0.270081266620946
BETA AMYLOID AGGREGATION INHIBITOR,1.09771424035786,0.279177848149099
CSF1R INHIBITOR,1.08735065484511,0.287323669072803
VESICULAR MONOAMINE TRANSPORTER INHIBITOR,1.08694587889072,0.278518121161823
BMI-1 INHIBITOR,1.08461494680754,0.280830968825802
CFTR CHANNEL POTENTIATOR,1.07745180937743,0.284987084999347
PURINE ANTAGONIST,1.07576984205759,0.284109755536837
VITAMIN ANALOG,1.06929022897629,0.294598538889434
PHOSPHORYLASE INHIBITOR,1.06607226414088,0.289662119437688
ANTIMALARIAL AGENT,1.06484973625012,0.287450097191094
HYDROXYCARBOXYLIC ACID RECEPTOR AGONIST,1.06479120127444,0.292677290262702
CANNABINOID RECEPTOR INVERSE AGONIST,1.05781251667307,0.292130326320668
"EGFR INHIBITOR, METALLOPROTEINASE INHIBITOR",1.05700984512305,0.29688293984623
MIXED LINEAGE KINASE INHIBITOR,1.04997318192041,0.301829994516525
CYTOKINE PRODUCTION INHIBITOR,1.04528925972876,0.297784513607896
GAP JUNCTION MODULATOR,1.04492787861053,0.298704639543325
"ACETYLCHOLINE RECEPTOR AGONIST, BENZODIAZEPINE RECEPTOR AGONIST",1.04200041301502,0.3042013321166
"OPIOID RECEPTOR AGONIST, OPIOID RECEPTOR ANTAGONIST, OPIOID RECEPTOR MODULATOR",1.03489320870677,0.309281152857642
"DNA PROTEIN KINASE INHIBITOR, PI3K INHIBITOR",1.03429150968224,0.306649375598681
KINASE INHIBITOR,1.03016262621821,0.303399973656902
"AURORA KINASE INHIBITOR, GROWTH FACTOR RECEPTOR INHIBITOR",1.02302226676689,0.309758525451389
"IMIDAZOLINE RECEPTOR AGONIST, IMIDAZOLINE RECEPTOR LIGAND",1.01884277309429,0.315229816447332
GASTRIN INHIBITOR,1.01452887186467,0.31373973409048
DOPAMINE RELEASE INHIBITOR,1.01389462700478,0.319370651078123
DOPAMINE-NOREPINEPHRINE-SEROTONIN REUPTAKE INHIBITOR,1.00947721153561,0.319055999410109
ANTIINFECTIVE DRUG,1.00839088243872,0.314035434041873
XIAP INHIBITOR,1.00815363651154,0.314317749821695
"MITOCHONDRIAL DNA POLYMERASE INHIBITOR, PHOSPHATASE INHIBITOR",1.00696345279247,0.321290868251487
"PHOSPHOENOLPYRUVATE CARBOXYLASE ACTIVATOR, SERINE/THREONINE PROTEIN PHOSPHATASE ACTIVATOR",1.00449340062481,0.321458249187376
"HCV INHIBITOR, XIAP INHIBITOR",1.0037386340916301,0.321451090022635
"LANOSTEROL DEMETHYLASE INHIBITOR, STEROL DEMETHYLASE INHIBITOR",1.0000776238161,0.32560766152715
SOLUTE CARRIER FAMILY MEMBER INHIBITOR,0.999467886042521,0.318857243385644
"KIT INHIBITOR, VEGFR INHIBITOR",0.998717596008288,0.321296874352008
"MELATONIN RECEPTOR AGONIST, NITRIC OXIDE SYNTHASE INHIBITOR",0.993730439166408,0.326553495000409
DNA CROSS-LINKING,0.992280054027688,0.327542227012533
CYCLOOXYGENASE INHIBITOR,0.986694999005406,0.323851109789109
"PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR",0.986428210401443,0.325592047430601
ISOLEUCYL-TRNA SYNTHETASE INHIBITOR,0.98026614224945,0.331931323831426
PANTOTHENATE KINASE ACTIVATOR,0.9788814106296,0.334622630062965
S-ADENOSYLMETHIONINE DECARBOXYLASE INHIBITOR,0.977226976765168,0.336964826564959
MONOACYLGLUCEROL LIPASE INHIBITOR,0.975447117976296,0.332753392791635
SELECTIVE SEROTONIN REUPTAKE ENHANCER (SSRE),0.975159496903376,0.335427258851817
GROWTH HORMONE SECRETAGOGUE RECEPTOR AGONIST,0.972826261200346,0.332034027859788
FOCAL ADHESION KINASE INHIBITOR,0.972693791160905,0.331760291407676
NOOTROPIC AGENT,0.970942247782066,0.3349053408471
NEUROKININ RECEPTOR ANTAGONIST,0.970868470439528,0.332780569502282
FLAVANONE GLYCOSIDE,0.969574755656499,0.338575377889644
AUTOPHAGY INDUCER,0.96794717905626,0.336631419791084
"CYTOCHROME P450 INHIBITOR, SODIUM/POTASSIUM/CHLORIDE TRANSPORTER INHIBITOR",0.9672187417102,0.342462553904167
CHLORIDE CHANNEL ACTIVATOR,0.964997654168648,0.337684943656855
CHOLERETIC AGENT,0.959753510479831,0.33930732820726
CALCIUM CHANNEL BLOCKER,0.958433978317983,0.337964085290214
ANTICONVULSANT,0.958039132728385,0.338785958286811
INTERLEUKIN INHIBITOR,0.956803312479475,0.340443683026858
GABA RECEPTOR PARTIAL AGONIST,0.956383785951941,0.347951619849132
GLUCAGON-LIKE PEPTIDE RECEPTOR POSITIVE ALLOSTERIC MODULATOR,0.954484495575747,0.349534896734488
RENAL FUNCTION DIAGNOSTIC AGENT,0.953812541825019,0.346528107626511
REDUCING AGENT,0.953654924848243,0.342925677920995
