moa,test_statistic,p_value
MATRIX METALLOPROTEASE INHIBITOR,2.2866444449446983,0.02261137530032698
ALDEHYDE REDUCTASE INHIBITOR,2.2790842908407587,0.02880455442906375
LXR AGONIST,2.27550109331098,0.02370386138998308
CHOLECYSTOKININ AGONIST,2.2669548215164568,0.03084602573229126
ARYL HYDROCARBON RECEPTOR LIGAND,2.266624518927544,0.03287284193075353
"ATP SYNTHASE INHIBITOR, ATPASE INHIBITOR",2.2599445187339122,0.029862681940359428
"THROMBOXANE RECEPTOR ANTAGONIST, THROMBOXANE SYNTHASE INHIBITOR",2.235669864501949,0.030915407993995152
STING ANTAGONIST,2.220595398208115,0.03289963719563221
MITOTIC KINESIN INHIBITOR,2.2171151504331377,0.031455425243805
ACETYLCHOLINE RECEPTOR INHIBITOR,2.1863441251079103,0.034352244885579614
H+/K+-ATPASE INHIBITOR,2.1528893575883448,0.03808782039126236
ATHEROSCLEROSIS FORMATION INHIBITOR,2.1447894940306598,0.04175647371091576
"SRC INHIBITOR, TUBULIN POLYMERIZATION INHIBITOR",2.1447026853114806,0.03764590381425802
STEROID SULFATASE INHIBITOR,2.1223830167151125,0.040475924624793026
HOMOQUINOLINIC ACID BINDING INHIBITOR,2.1168521051462945,0.044411188965474524
"ANTI-INFLAMMATORY AGENT, ANTIINFLAMMATORY AGENT, CYCLOOXYGENASE INHIBITOR",2.106956846207803,0.04226665582961915
SIRT ACTIVATOR,2.0891692942187023,0.03964426815751693
DNA REPLICATION INHIBITOR,2.0797182274824886,0.0506079123590118
TROPOMYOSIN RECEPTOR KINASE INHIBITOR,2.0710163361351714,0.040771255343040436
MONOPOLAR SPINDLE 1 KINASE INHIBITOR,2.0576169298835136,0.04126656482345204
L-TYPE CALCIUM CHANNEL BLOCKER,2.050050561235528,0.04762502045060454
"TANKYRASE INHIBITOR, WNT PATHWAY INHIBITOR",2.0391992374261445,0.04845818621131886
WNT SIGNALING INHIBITOR,2.03772752098986,0.04601614410728292
"IKK INHIBITOR, NFKB PATHWAY INHIBITOR",2.0363773906925395,0.048158810073449514
DUAL SPECIFICITY PROTEIN KINASE INHIBITOR,2.0303388690742534,0.0480807520135883
"SPHINGOSINE 1-PHOSPHATE RECEPTOR MODULATOR, SPHINGOSINE PHOSPHATE RECEPTOR MODULATOR",2.0298034030494816,0.04745674705891567
RETINOID RECEPTOR INVERSE AGONIST,2.027049781976789,0.04860299379741199
BILE ACID TRANSPORTER INHIBITOR,1.9990421445202768,0.05229109143636609
DOPA DECARBOXYLASE INHIBITOR,1.9932842425574286,0.05423671942712677
FABI INHIBITOR,1.9764877566952632,0.050676432005437685
HISTAMINE RELEASE INHIBITOR,1.9746322714969853,0.052528999315822764
VALOSIN-CONTAINING PROTEIN INHIBITOR,1.9734449160195755,0.05865249773954229
POTASSIUM CHANNEL AGONIST,1.973092096630346,0.05685953798116313
POTASSIUM CHANNEL ACTIVATOR,1.9685087300953534,0.049383828270666855
TRANSGLUTAMINASE INHIBITOR,1.963466729731831,0.058878941041020906
"FGFR INHIBITOR, VEGFR INHIBITOR",1.9594220646159757,0.05141740029766468
ANTILIPEMIC,1.95522407664676,0.05679501768491915
"MAP KINASE INHIBITOR, TIE TYROSINE KINASE INHIBITOR",1.9512856716094948,0.06279554200363374
"CYCLOOXYGENASE INHIBITOR, LIPOXYGENASE INHIBITOR",1.9502376062250044,0.0552597539267409
PLATELET AGGREGATION INHIBITOR,1.949930254044941,0.053695687330818746
TRANSDERMAL ABSORPTION-ENHANCING COMPOUND,1.943935180582756,0.05787516745086923
LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN NEGATIVE MODULATOR,1.9415419096224,0.057744085242725764
ATR KINASE INHIBITOR,1.9400958053064046,0.05370430128044587
GLUTATHIONE SYNTHASE STIMULANT,1.9328350761153392,0.061134576518655226
INTERLEUKIN SYNTHESIS INHIBITOR,1.9326499774253896,0.061983882273064575
"MTOR INHIBITOR, PI3K INHIBITOR",1.9311429194268073,0.05409198816266811
HYPOLIPIDEMIC,1.926046839767753,0.06406362343304403
"CCR AGONIST, INTERFERON RECEPTOR AGONIST",1.9136370763533008,0.06181409892879441
INTEGRIN SIGNALING ACTIVATOR,1.9063826223405125,0.06040321081056682
"CASEIN KINASE INHIBITOR, MTOR INHIBITOR, PI3K INHIBITOR",1.9044577163453693,0.06482720551366818
PPAR RECEPTOR ANTAGONIST,1.8918306021338016,0.05927432606815607
PORCUPINE INHIBITOR,1.8893696374764295,0.06072706371732642
CALCIUM/CALMODULIN DEPENDENT PROTEIN KINASE INHIBITOR,1.8639432172383286,0.06751569863033788
GLUTATHIONE TRANSFERASE INHIBITOR,1.8619219661173538,0.06707221352765427
PABA ANTAGONIST,1.858684611931622,0.06428364398983778
OXYTOCIN RECEPTOR AGONIST,1.857382656105387,0.06715878106369717
GONADOTROPIN RELEASING FACTOR HORMONE RECEPTOR ANTAGONIST,1.8530064005826266,0.06480292715760141
TP53 INHIBITOR,1.8331569083669694,0.07161243206800046
VOLTAGE-GATED POTASSIUM CHANNEL ACTIVATOR,1.8083280844312106,0.07214875282792309
OPIOID RECEPTOR MODULATOR,1.8079607508930255,0.07521986886816298
"DNA REPLICATION INHIBITOR, STAT INHIBITOR",1.7999907101850927,0.08037447720936035
NOTCH SIGNALING INHIBITOR,1.7890821978185134,0.07667130692819542
ANTICOAGULANT,1.7836860822542067,0.0799055458016586
ANTIBACTERIAL,1.7732647002431687,0.07682881854989031
MITOCHONDRIAL ELECTRON TRANSPORT INHIBITOR,1.7723242643966106,0.08175866502494882
PIM KINASE INHIBITOR,1.7646291802437004,0.07887087499480253
EXPECTORANT,1.7571806303244406,0.08681134306318973
BACTERIAL PERMEABILITY INDUCER,1.7412004512244854,0.08360149071675203
GLYCOGEN SYNTHASE KINASE INHIBITOR,1.738414658463538,0.08273445611712708
FKBP INHIBITOR,1.7289083869753745,0.09730543508096201
MEMBRANE PERMEABILITY ENHANCER,1.7253599078873816,0.08876653885771665
"JAK INHIBITOR, STAT INHIBITOR",1.715300343930954,0.09498522716563064
STEROL METHYLTRANSFERASE INHIBITOR,1.714864052032843,0.09784603629795494
"MICROTUBULE STIMULANT, TUBULIN POLYMERIZATION INHIBITOR",1.7138160596234782,0.09856838543854642
THYROID HORMONE RECEPTOR AGONIST,1.713161442984025,0.08959473317996035
"ADRENERGIC RECEPTOR AGONIST, IMIDAZOLINE RECEPTOR AGONIST",1.7125967147509877,0.0930161552498503
CC CHEMOKINE RECEPTOR ANTAGONIST,1.7123032196173587,0.08706878808040869
TOLL-LIKE RECEPTOR AGONIST,1.7038252890158319,0.08962731859319081
BCL INHIBITOR,1.6984521328923698,0.09036189008852531
"CHK INHIBITOR, CYTOCHROME P450 ACTIVATOR, INDOLEAMINE 2,3-DIOXYGENASE INHIBITOR",1.694450186180016,0.09803649001863837
UBIQUITIN LIGASE INHIBITOR,1.6916325967339043,0.09623780099255759
METALLOPROTEINASE INHIBITOR,1.6890300257538196,0.09220639118991139
"CELL CYCLE INHIBITOR, PLK INHIBITOR",1.6884175745462506,0.09832526203599194
"LEUKOTRIENE SYNTHESIS INHIBITOR, LIPOXYGENASE INHIBITOR",1.6679495594317624,0.09836058938611326
"GLYCOGEN SYNTHASE KINASE INHIBITOR, LIPOXYGENASE INHIBITOR",1.656857542911774,0.10654299369382596
HMGCR INHIBITOR,1.6560736309930186,0.09830300188984005
G PROTEIN SIGNALING INHIBITOR,1.6487825962801395,0.10239256941731564
STEROL DEMETHYLASE INHIBITOR,1.6461077764813066,0.10032395287307337
STAT INHIBITOR,1.6370600573037997,0.10287233254652227
"GLUTAMATE RECEPTOR ANTAGONIST, SIGMA RECEPTOR AGONIST",1.6347525570351786,0.11060300909941327
BONE MORPHOGENIC PROTEIN INHIBITOR,1.621972105031848,0.10757244300168821
"PHOSPHODIESTERASE INHIBITOR, SODIUM CHANNEL BLOCKER",1.6219227092920987,0.11258169925618275
JAK INHIBITOR,1.6190918090136117,0.10572990145071243
TRANSIENT RECEPTOR POTENTIAL CHANNEL AGONIST,1.6188002284154699,0.10911727494935683
GAMMA SECRETASE MODULATOR,1.6099536995735362,0.10935632570371275
DNA SYNTHESIS MARKER,1.5987141639269045,0.11745127560789478
GLUCOSYLCERAMIDASE INHIBITOR,1.5967093636442313,0.11501963621327019
"FLT3 INHIBITOR, TYROSINE KINASE INHIBITOR",1.5966787575072419,0.11993473648370406
"T-TYPE CALCIUM CHANNEL BINDER, T-TYPE CALCIUM CHANNEL BLOCKER",1.5961602092178733,0.11658866569968367
UBIQUITIN ACTIVATING ENZYME INHIBITOR,1.5951657219265067,0.11914458063861585
SPHINGOSINE 1-PHOSPHATE RECEPTOR ANTAGONIST,1.5947072724503586,0.11392256951889998
NEURAL STEM CELL INDUCER,1.5945159807879405,0.11303846861782905
PHOSPHATIDYLGLYCEROPHOSPHATASE INHIBITOR,1.591757604234656,0.1201107351099302
JNK INHIBITOR,1.5893002159058125,0.113147225179597
SELECTIVE ESTROGEN RECEPTOR MODULATOR (SERM),1.5881851621136287,0.11337749259905752
WNT AGONIST,1.5841704418246862,0.12497409402469913
INTERLEUKIN SYTHESIS STIMULATOR,1.5799141430494705,0.12126817535204312
NAMPT INHIBITOR,1.5557655664306305,0.12138439870296186
"C-MET INHIBITOR, VEGFR INHIBITOR",1.533256740919536,0.13568580567179253
"GLUTAMATE RECEPTOR ALLOSTERIC MODULATOR, GLUTAMATE RECEPTOR POSITIVE ALLOSTERIC MODULATOR",1.5259535964173379,0.13606059231412407
INTEGRIN ANTAGONIST,1.5059891603812892,0.1328484649980138
PARG INHIBITOR,1.5050697057427653,0.136797275380559
SERINE/THREONINE KINASE INHIBITOR,1.4963190511422388,0.1354804545219856
"SIRT INHIBITOR, TP53 ACTIVATOR",1.4932860047782277,0.1446702770542753
OTHER ANTIBIOTIC,1.489047029329977,0.1371128091789914
GLUCOSE DEPENDENT INSULINOTROPIC RECEPTOR AGONIST,1.4761483732241794,0.14140174018067211
COENZYME A PRECURSOR,1.4747003862592791,0.14443129292880988
G PROTEIN-COUPLED RECEPTOR AGONIST,1.473655708851558,0.1413400600166698
"DNA DIRECTED DNA POLYMERASE INHIBITOR, NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITOR",1.4506375898097017,0.15476385742849635
METHYLTRANSFERASE INHIBITOR,1.4486271441163538,0.15578063372992954
"KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, SRC INHIBITOR",1.4483016735320695,0.15427810586138196
"EGFR INHIBITOR, FGFR INHIBITOR, FLT3 INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR",1.4390963604775313,0.15468327078885769
URICOSURIC AGENT,1.4373554078011794,0.15714154765216187
RSV REPLICATION INHIBITOR,1.4319861585023903,0.160221997689104
"ADENOSINE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR",1.4192437054038625,0.1599564068244269
CALCIUM-SENSING RECEPTOR AGONIST,1.4170261598658822,0.163682053008979
ACETYL-COA CARBOXYLASE INHIBITOR,1.4149937813028615,0.15900776801768723
TRANSCRIPTIONAL REGULATORY PROTEIN WALR,1.4070998541673376,0.17105503959976512
OTHER ANTIFUNGAL,1.4051556356398363,0.16079041211521186
IMMUNE RESPONSE STIMULATOR,1.4044583887093542,0.16970846737613748
CORTICOTROPIN RELEASING FACTOR RECEPTOR ANTAGONIST,1.4035789777049719,0.16496837237056625
"CDK INHIBITOR, FLT3 INHIBITOR",1.4002617111798914,0.17412234556404713
"CYTOCHROME P450 INHIBITOR, PROTEIN SYNTHESIS INHIBITOR",1.3960174499031053,0.1707300695774865
ALDO-KETO REDUCTASE INHIBITOR,1.3948445176884843,0.16992734053053948
GABA TRANSAMINASE INHIBITOR,1.389041429558516,0.17193613073113284
"ATPASE INHIBITOR, GASTRIN INHIBITOR",1.3874129297838067,0.17408281289803326
"DNA INHIBITOR, TOPOISOMERASE INHIBITOR",1.3837750716964694,0.1754747201405904
NEUROTRANSMITTER RELEASE INHIBITOR,1.3786433683522241,0.17862848225728917
"ABL KINASE INHIBITOR, INSULIN GROWTH FACTOR RECEPTOR INHIBITOR, SRC INHIBITOR",1.375951688214932,0.1785199496248125
11-BETA-HSD1 INHIBITOR,1.3724882391991386,0.1791824916316302
"CASEIN KINASE INHIBITOR, CELL PROLIFERATION INHIBITOR",1.3716914232071271,0.17691144370118894
"ABL KINASE INHIBITOR, BCR-ABL KINASE INHIBITOR",1.3677831905147884,0.17932019596425108
"CYCLOOXYGENASE INHIBITOR, FABI INHIBITOR",1.3675184878158444,0.17602788038494144
TRYPTOPHAN HYDROXYLASE INHIBITOR,1.3616514335490821,0.17468207392971363
DYNAMIN INHIBITOR,1.360207468512796,0.17675722638476477
ENTEROVIRUS CAPSID INHIBITOR,1.359373061840007,0.18156565472161285
"AURORA KINASE INHIBITOR, MEK INHIBITOR",1.3548514075905629,0.18181380813620945
TANKYRASE INHIBITOR,1.352743765810572,0.17805265750272767
VASOPRESSIN RECEPTOR AGONIST,1.3519150150881065,0.17820853377086826
"ATPASE INHIBITOR, TRPV AGONIST",1.3518463028235257,0.18403897499196342
TYROSINE PHOSPHATASE INHIBITOR,1.3438256424039006,0.1807752018813965
"AURORA KINASE INHIBITOR, JAK INHIBITOR",1.3314932811252407,0.19110645162739903
"BRUTON'S TYROSINE KINASE (BTK) INHIBITOR, EGFR INHIBITOR",1.331058843265547,0.1928034543854886
"CALCIUM CHANNEL BLOCKER, GLUTAMATE RECEPTOR ANTAGONIST",1.3299001970676219,0.1928894132822609
"FGFR INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR",1.3283820226471397,0.18985268503256691
CELL DIVISION INDUCER,1.3270510185515074,0.19106226514641333
"APOPTOSIS INHIBITOR, DNA SYNTHESIS INHIBITOR",1.3249461675278913,0.1927622154578374
"BONE RESORPTION INHIBITOR, ESTROGEN-RELATED RECEPTOR INVERSE AGONIST",1.3249377332279737,0.19263308132725257
"HCV INHIBITOR, PROTEASE INHIBITOR",1.3225329999320679,0.1917397346352893
PI4K INHIBITOR,1.3203854172197036,0.1895583405136234
PHOSPHOLIPASE INHIBITOR,1.3197530640993183,0.18763498679064305
HISTONE LYSINE DEMETHYLASE INHIBITOR,1.3145994824717553,0.18974703329365825
BETA-SECRETASE INHIBITOR,1.306714521702453,0.192471918655555
ESTROGEN RECEPTOR ANTAGONIST,1.3022422637636852,0.1938175696105464
UBIQUITIN SPECIFIC PROTEASE INHIBITOR,1.3003311982472179,0.1956080939801719
"PKC INHIBITOR, PROTEIN TYROSINE KINASE INHIBITOR",1.2946710275573483,0.2032251568586235
ADENYLYL CYCLASE INHIBITOR,1.2880758830495997,0.2020238880955819
HISTONE CHAPERONE INHIBITOR,1.2812648201567622,0.20951747913609717
ROR AGONIST,1.2802873172167153,0.20654635588099107
HSP INDUCER,1.2703948179217315,0.20686697495738662
ALPHA GLUCOSIDE INHIBITOR,1.270220616823168,0.2124497708233021
RETINOID RECEPTOR ANTAGONIST,1.2698051377294834,0.20635766669820535
ALDEHYDE DEHYDROGENASE ACTIVATOR,1.2667896315330995,0.21587081738139297
CRTH RECEPTOR ANTAGONIST,1.2665270318218356,0.2081615427108874
INTEGRIN INHIBITOR,1.265175519569354,0.20776709309636415
CAR ANTAGONIST,1.2617449853665106,0.21173812249958202
"KR""""""""UPPEL-LIKE FACTOR EXPRESSION ENHANCER, KRÃPPEL-LIKE FACTOR EXPRESSION ENHANCER",1.261604604239545,0.21807725743308315
HYPOXIA INDUCIBLE FACTOR INHIBITOR,1.259293821516401,0.20880661299864098
"BENZODIAZEPINE RECEPTOR AGONIST, GABA BENZODIAZEPINE SITE RECEPTOR PARTIAL AGONIST",1.246275383972874,0.22096582381196014
BETA AMYLOID INHIBITOR,1.2421078555811826,0.2185669452839521
NITRIC OXIDE SYNTHASE STIMULANT,1.2400924598651804,0.21913240913169096
CARBOXYLESTERASE INHIBITOR,1.2356852175370001,0.22013708448069086
LATE SODIUM CURRENT INHIBITOR,1.233690409777001,0.22592987500276163
UROTENSIN RECEPTOR ANTAGONIST,1.2308614156377387,0.2203185681972064
GLUCOSAMINE SYNTHETASE STIMULANT,1.2285509372602208,0.2288543426197143
GLUTAMATE RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,1.2283434727963078,0.22166063487679327
AMYLOID PROTEIN INHIBITOR,1.2258731239888803,0.22922330750936465
GLUCONEOGENESIS INHIBITOR,1.225457646073054,0.22432628995685858
MTH1 INHIBITOR,1.2134484723429166,0.22722974241835742
AURORA KINASE INHIBITOR,1.2124714880802294,0.22565661194984873
TOPOISOMERASE INHIBITOR,1.2115088401480638,0.22585859824265134
CALCIUM-ACTIVATED CHLORIDE CHANNEL INHIBITOR,1.210154843343795,0.23133355226583793
COSMETIC,1.202248996467689,0.23510126629403402
ALDEHYDE DEHYDROGENASE INHIBITOR,1.200073624545606,0.23562834609829394
HEDGEHOG PATHWAY INHIBITOR,1.1952199840413817,0.2336770951701334
"MICROTUBULE STABILIZING AGENT, TUBULIN POLYMERIZATION INHIBITOR",1.1863541121424952,0.23906288337878517
"INTERFERON RECEPTOR AGONIST, INTERLEUKIN RECEPTOR AGONIST",1.177704383665538,0.24677603409741672
PURINERGIC RECEPTOR ANTAGONIST,1.1734020549743935,0.24101806009299037
"ANGIOGENESIS INHIBITOR, S100A9 INHIBITOR",1.1733783186175089,0.24621338650485114
P SELECTIN INHIBITOR,1.1698028773926183,0.24598956411314063
"IMMUNOSUPPRESSANT, SPHINGOSINE 1-PHOSPHATE RECEPTOR AGONIST, SPHINGOSINE PHOSPHATE RECEPTOR AGONIST",1.1622338419327904,0.25154399083144696
"ALDOSE REDUCTASE INHIBITOR, TRPV AGONIST",1.15889867449924,0.2544547476088413
TRACE AMINE ASSOCIATED RECEPTOR ANTAGONIST,1.155692166396092,0.2557746371434285
MBT INHIBITOR,1.1547961902276933,0.2597809660824083
HAEMOSTATIC AGENT,1.1486342100876414,0.25885220000691483
RYANODINE RECEPTOR ACTIVATOR,1.1477342834426756,0.257933692697225
"KATP ACTIVATOR, POTASSIUM CHANNEL AGONIST",1.1381212103423721,0.26150393136185923
"APOPTOSIS STIMULANT, RETINOID RECEPTOR AGONIST",1.131573958321727,0.2686418918463102
"MICROTUBULE INHIBITOR, TUBULIN POLYMERIZATION INHIBITOR",1.1303839520374959,0.2603599745108476
"CLK INHIBITOR, DYRK INHIBITOR",1.128073092632187,0.267348373478176
MAP KINASE PHOSPHATASE INHIBITOR,1.1270953061366764,0.26681895680399587
XANTHINE OXIDASE INHIBITOR,1.1270852326167637,0.2610012834816814
NITRIC OXIDE DONOR,1.1267527068699914,0.2608517343549672
"ICAM1 ANTAGONIST, LEUKOCYTE FUNCTION-ASSOCIATED ANTIGEN RECEPTOR ANTAGONIST",1.123875519746068,0.2721891665139883
CYCLIN D INHIBITOR,1.1208660785586904,0.26534461823493677
PKC INHIBITOR,1.1208487276785861,0.26295729277957425
"AURORA KINASE INHIBITOR, FLT3 INHIBITOR, VEGFR INHIBITOR",1.117639683954738,0.26977033284944724
GHRELIN RECEPTOR ANTAGONIST,1.116218564387473,0.2746186066078958
URIC ACID DIURETIC,1.1086705359385614,0.2733475873766648
HSP INHIBITOR,1.1071673729285927,0.26851928464071373
CASEIN KINASE INHIBITOR,1.1056407406145468,0.27008126662094606
BETA AMYLOID AGGREGATION INHIBITOR,1.0977142403578566,0.27917784814909913
CSF1R INHIBITOR,1.087350654845109,0.2873236690728026
VESICULAR MONOAMINE TRANSPORTER INHIBITOR,1.0869458788907194,0.27851812116182256
BMI-1 INHIBITOR,1.0846149468075426,0.280830968825803
CFTR CHANNEL POTENTIATOR,1.0774518093774277,0.2849870849993468
PURINE ANTAGONIST,1.0757698420575919,0.2841097555368373
VITAMIN ANALOG,1.069290228976294,0.29459853888943344
PHOSPHORYLASE INHIBITOR,1.0660722641408842,0.2896621194376878
ANTIMALARIAL AGENT,1.0648497362501161,0.2874500971910949
HYDROXYCARBOXYLIC ACID RECEPTOR AGONIST,1.0647912012744443,0.29267729026270234
CANNABINOID RECEPTOR INVERSE AGONIST,1.0578125166730707,0.292130326320668
"EGFR INHIBITOR, METALLOPROTEINASE INHIBITOR",1.0570098451230476,0.29688293984622954
MIXED LINEAGE KINASE INHIBITOR,1.0499731819204137,0.3018299945165249
CYTOKINE PRODUCTION INHIBITOR,1.0452892597287577,0.29778451360789626
GAP JUNCTION MODULATOR,1.0449278786105292,0.29870463954332527
"ACETYLCHOLINE RECEPTOR AGONIST, BENZODIAZEPINE RECEPTOR AGONIST",1.0420004130150209,0.3042013321166003
"OPIOID RECEPTOR AGONIST, OPIOID RECEPTOR ANTAGONIST, OPIOID RECEPTOR MODULATOR",1.0348932087067737,0.3092811528576418
"DNA PROTEIN KINASE INHIBITOR, PI3K INHIBITOR",1.0342915096822454,0.30664937559868016
KINASE INHIBITOR,1.0301626262182095,0.3033999736569017
"AURORA KINASE INHIBITOR, GROWTH FACTOR RECEPTOR INHIBITOR",1.023022266766887,0.30975852545138943
"IMIDAZOLINE RECEPTOR AGONIST, IMIDAZOLINE RECEPTOR LIGAND",1.0188427730942888,0.3152298164473317
GASTRIN INHIBITOR,1.0145288718646754,0.31373973409048017
DOPAMINE RELEASE INHIBITOR,1.0138946270047824,0.31937065107812296
DOPAMINE-NOREPINEPHRINE-SEROTONIN REUPTAKE INHIBITOR,1.0094772115356134,0.31905599941010854
ANTIINFECTIVE DRUG,1.008390882438715,0.31403543404187334
XIAP INHIBITOR,1.0081536365115449,0.3143177498216941
"MITOCHONDRIAL DNA POLYMERASE INHIBITOR, PHOSPHATASE INHIBITOR",1.0069634527924682,0.3212908682514869
"PHOSPHOENOLPYRUVATE CARBOXYLASE ACTIVATOR, SERINE/THREONINE PROTEIN PHOSPHATASE ACTIVATOR",1.0044934006248114,0.32145824918737614
"HCV INHIBITOR, XIAP INHIBITOR",1.0037386340916257,0.32145109002263494
"LANOSTEROL DEMETHYLASE INHIBITOR, STEROL DEMETHYLASE INHIBITOR",1.0000776238161007,0.3256076615271496
SOLUTE CARRIER FAMILY MEMBER INHIBITOR,0.9994678860425208,0.31885724338564436
"KIT INHIBITOR, VEGFR INHIBITOR",0.9987175960082885,0.3212968743520084
"MELATONIN RECEPTOR AGONIST, NITRIC OXIDE SYNTHASE INHIBITOR",0.9937304391664085,0.32655349500040876
DNA CROSS-LINKING,0.9922800540276874,0.32754222701253355
CYCLOOXYGENASE INHIBITOR,0.9866949990054076,0.3238511097891079
"PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR",0.9864282104014432,0.32559204743060066
ISOLEUCYL-TRNA SYNTHETASE INHIBITOR,0.9802661422494493,0.3319313238314263
PANTOTHENATE KINASE ACTIVATOR,0.9788814106295997,0.3346226300629649
S-ADENOSYLMETHIONINE DECARBOXYLASE INHIBITOR,0.9772269767651671,0.33696482656495996
MONOACYLGLUCEROL LIPASE INHIBITOR,0.9754471179762954,0.33275339279163496
SELECTIVE SEROTONIN REUPTAKE ENHANCER (SSRE),0.9751594969033763,0.3354272588518167
GROWTH HORMONE SECRETAGOGUE RECEPTOR AGONIST,0.9728262612003461,0.3320340278597872
FOCAL ADHESION KINASE INHIBITOR,0.9726937911609038,0.3317602914076766
NOOTROPIC AGENT,0.9709422477820652,0.33490534084710033
NEUROKININ RECEPTOR ANTAGONIST,0.9708684704395271,0.33278056950228274
FLAVANONE GLYCOSIDE,0.9695747556564988,0.338575377889644
AUTOPHAGY INDUCER,0.96794717905626,0.3366314197910837
